benchmark,algorithm,time
npuzzle_4x4_len9_8.txt,astar,0.2267
npuzzle_4x4_len4_9.txt,bfs,0.2459
npuzzle_4x4_len4_9.txt,dfs,0.2676
npuzzle_4x4_len4_9.txt,astar,0.2309
npuzzle_3x3_len2_3.txt,bfs,0.2345
npuzzle_3x3_len2_3.txt,dfs,0.2323
npuzzle_3x3_len2_3.txt,astar,0.2254
npuzzle_5x5_len2_1.txt,bfs,0.2321
npuzzle_5x5_len2_1.txt,dfs,0.2225
npuzzle_5x5_len2_1.txt,astar,0.2297
npuzzle_4x4_len7_2.txt,bfs,0.2414
npuzzle_4x4_len7_2.txt,dfs,0.2479
npuzzle_4x4_len7_2.txt,astar,0.2268
npuzzle_3x3_len7_3.txt,bfs,0.2219
npuzzle_3x3_len7_3.txt,dfs,0.2327
npuzzle_3x3_len7_3.txt,astar,0.2776
npuzzle_3x3_len4_7.txt,bfs,0.2304
npuzzle_3x3_len4_7.txt,dfs,0.213
npuzzle_3x3_len4_7.txt,astar,0.2243
npuzzle_4x4_len1_2.txt,bfs,0.2351
npuzzle_4x4_len1_2.txt,dfs,0.2452
npuzzle_4x4_len1_2.txt,astar,0.2115
npuzzle_3x3_len6_3.txt,bfs,0.204
npuzzle_3x3_len6_3.txt,dfs,0.2308
npuzzle_3x3_len6_3.txt,astar,0.2637
npuzzle_3x3_len8_3.txt,bfs,0.2348
npuzzle_3x3_len8_3.txt,dfs,0.2375
npuzzle_3x3_len8_3.txt,astar,0.2426
npuzzle_5x5_len9_7.txt,bfs,0.4144
npuzzle_5x5_len9_7.txt,dfs,0.2603
